Business Id,Business Name,Type,Latitude,Longitude,Ratings,Review_Counts,Price,Zipcode,Delivery
XvEz60Y0NbLxooK9AmRU8g,Piccoli Trattoria,Italian,40.665184,-73.98654,4.5,490,$$,11215,True
LTi4_wcCVmqQeJ_jgTEbOQ,Emporio,Italian,40.722647,-73.995246,4.0,785,$$,10012,True
iEUXrUUqGfUhpgYYSr5Zig,Da Nico Ristorante,Italian,40.71963,-73.99691,4.0,792,$$,10013,True
yY15aCwP6lRnEfSlbV_mhA,Mama Mal's Italian Cuisine,Italian,30.253537,-97.763551,4.5,41,$,78704,True
5k_jwjhdFMPUNWhouGNzuA,Misi,Italian,40.71341,-73.96661999999998,4.0,312,$$$,11249,True
vVVmHacu2YAxKfpIjhfd1g,NORMA Gastronomia Siciliana,Italian,40.74355300000001,-73.980026,4.5,423,$$,10016,True
6aVgixwks8EgirE1JtyDAQ,John's of 12th Street,Italian,40.730685,-73.985502,4.0,714,$$,10003,True
ZTsN8TdMXl8SW_AKd_ablw,Forno Rosso,Italian,40.694467,-73.98293000000002,4.5,685,$$,11201,True
5V4cUVikPN8ALWXBVdjltw,Mariella,Italian,40.6662419,-73.985749,4.5,341,$$,11215,False
53ZNJNrT91VgvrI0LFjLNQ,Locanda Vini e Olii,Italian,40.685007,-73.96294300000002,4.0,309,$$$,11238,True
_V7YsDQ4Lb41rqfkuPzm1w,Trattoria Pesce Pasta,Italian,40.73115,-74.00319,4.0,247,$$,10014,True
CFR-HzVHKWRMpMAR3LAhzg,Montesacro Pinseria Brooklyn,Italian,40.71338,-73.95136,4.5,96,$$,11211,True
WmK7GXwOnLSTRN1ocyUThg,Puglia Ristorante,Italian,40.7181606872639,-73.99769756511441,4.0,511,$$,10013,True
tLZfepIfSf0a80zHQTbTGQ,Trattoria Zero Otto Nove,Italian,40.854779,-73.888474,4.0,783,$$,10458,True
Be1Y-vAEMgo7lqL5alXgDA,Taverna Di Bacco,Italian,40.72191,-73.98768000000003,4.0,282,$$,10002,True
WYhRkUATHRyXZrE55MArbA,Scalini Fedeli,Italian,40.7173964385114,-74.00932775374591,4.5,314,$$$$,10013,True
4j_n7nPaZrp6_lEInZaA8Q,Aita,Italian,40.686412,-73.966629,4.0,264,$$,11238,True
Fit_iIDn__NPVZpVlKFBFQ,Osteria 106,Italian,40.79894,-73.96174,4.5,137,$$,10025,True
3o0W7asUgP7EEKn8iFWFyA,Casa Nonna,Italian,40.75496,-73.99247,4.0,539,$$$,10018,True
6Z5OWpaeGGazJHR4LfThsw,Palma,Italian,40.73115,-74.00233,4.0,740,$$$,10014,True
Pu09oBx1ekEZiFt90PsSIw,Tableside Italian Cook Shoppe,Italian,40.7266287,-73.98633840000002,4.5,283,$$$,10003,True
d5ya04K-2A_hI3Xzqe1HeA,Caffe Buon Gusto,Italian,40.77249000000001,-73.95713,4.0,528,$$,10075,True
32VbG_XgkZIuye0PV-BxaA,Zero Otto Nove,Italian,40.7407551035259,-73.99148873885879,4.0,477,$$,10010,True
9iC39Z1YjZKbrrCANgzBXg,Sergimmo Salumeria,Italian,40.754296000000004,-73.995498,4.0,683,$$,10018,True
JSexQM-wn8HvWmfxu_m5ZA,Gnocco,Italian,40.72723,-73.98021,3.5,484,$$,10009,True
JyXn_GCGM2DsNYIzgzQrDw,Da Gennaro,Italian,40.71832,-73.99794,4.0,1040,$$,10013,True
hDj_0pbi4mFR5p1H1w6igw,Misirizzi,Italian,40.7272,-73.99228000000002,4.5,142,$$,10003,True
N-rwVhnEtXg8yY_TlB_KZw,Del Posto,Italian,40.7434155953035,-74.00753301326101,4.0,1430,$$$$,10011,False
DtnlLLvcqeEUIyZTypHnzw,Il Mulino New York - Downtown,Italian,40.729807,-73.99915899999998,4.0,553,$$$$,10012,True
7EAj8VJX_DoKlZdCJBE4Pg,La Bella Vita,Italian,40.719815999999994,-73.997403,4.0,406,$$,10013,True
HiNUBUR1hFwScd_OvVLQAg,La Pecora Bianca,Italian,40.74358,-73.9892,4.0,633,$$,10010,True
25npnVAlhRjguunYS8zy8w,Piccola Strada,Italian,40.726620000000004,-73.99019,4.5,199,$$,10003,True
jnHbdsqlTKlPcmJ8BCP9-g,Via Carota,Italian,40.733148231901204,-74.00366777251583,4.0,598,$$$,10014,True
FRp1NwIyp6tkDU986cJkXQ,Piccola Cucina Estiatorio,Italian,40.7246,-74.00297990000001,4.5,109,$$,10012,True
_WttOSi2_ggdvUI6GvaqTg,Da Nonna Rosa,Italian,40.672909999999995,-73.97697,4.0,364,$$,11215,True
Lesv5BG0_0-8bB49cAjMkg,Roberto's,Italian,40.85372,-73.88834,4.0,261,$$$,10458,True
vZ5-JXlJS75k8wmPNS5U5w,Max Soha,Italian,40.81130200000001,-73.95818299999998,4.0,408,$$,10027,True
PajKY49h4SpvSr-TW3lwCQ,Rafele Ristorante,Italian,40.7309471231405,-74.00411717790979,4.0,478,$$$,10014,True
TO9IICJjvcg1QhLVnap9fA,Cent'Anni,Italian,40.6730907423467,-73.9573492245369,4.0,438,$$,11238,True
e-XgOOm0X4Lk-gAX45Bj1Q,Baciccia Pizza e Cucina,Italian,40.663816,-73.98448,4.5,118,$$,11215,True
IIsJN_ilLI36zGAF3SMCCQ,La Piccola Cucina,Italian,40.8015,-73.96534,4.0,116,$$,10025,True
pk89jzL1RsE9U0thf_z6tw,Locanda Verde,Italian,40.71986013008011,-74.010039072422,4.0,1645,$$$,10013,True
7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,Italian,40.753188,-73.969365,4.5,220,$$,10017,True
V3USzFEGhuoXez4G2Rk11A,Tavola,Italian,40.755403,-73.994516,4.0,973,$$,10018,True
EL5Y6BSinmUte5VW4Eh54Q,Frank,Italian,40.726848320538295,-73.98871720386491,3.5,701,$$,10003,True
acXWoQ2wZnpzRV-0V58YTQ,Bevacco,Italian,40.69926829999999,-73.99230959999998,3.5,245,$$,11201,True
xPmCy25F1-uq-1vAP_1TBQ,Piccante,Italian,40.63319,-74.02741999999998,4.5,184,$$,11209,True
fH8DkdRerw5LJ7fZZHRfeA,Leuca,Italian,40.722121,-73.956678,4.0,330,$$$,11249,True
uYHN9Vw3V1ajDGRnNDtbYw,Michael's of Brooklyn,Italian,40.6076329987397,-73.9428921973385,4.5,250,$$$,11229,True
wZkZmjZEJDraLJgAalnHvA,Pisticci,Italian,40.8141624,-73.960288,4.0,876,$$,10027,True
XfOa_KyrV7JSFJMOKckGMg,Monte's Trattoria,Italian,40.72959,-74.0011,4.0,358,$$,10012,True
l7Z0p-PkSwIDPLPY1TRl8A,Emilio's Ballato,Italian,40.7244923,-73.9944022,4.0,353,$$$,10012,True
R3gSQGB3aEmVpwbKIgOPqg,FABIO CUCINA ITALIANA,Italian,40.75667,-73.96911999999998,4.5,345,$$$,10022,True
ZamvzoxEKiJEboO0ZUdogw,Amici Ristorante,Italian,40.71981,-73.99722,4.5,24,$$,10013,True
